cle_canonique;niveau;chapitre;titre_md;ligne_md;etat;id_graphe;nom_graphe
conclu_theo_mon;2;conclu;Une intégration cohérente des CM dans le champ de la théorie monétaire;46;PRESENTE_TITRE_DIVERGENT;b5386fe92a5b4cac94888ffc298469bf;B. Les CM, comme “en plus” dans la théorie monétaire et l’analyse des systèmes monétaires
conclu_traduction;2;conclu;Un effort de traduction *attentif aux* et à *l'attention* des acteurs;54;PRESENTE_TITRE_DIVERGENT;11fe6aacd1c440bdb795f073d9572b34;C. Le travail de traduction : prolongements pour les acteurs
conclu_boucs;2;conclu;Les CM : boucs émissaires commodes d'un système monétaire en crise ? »;64;PRESENTE_TITRE_DIVERGENT;d9f534f9f849a3c54eac31746ed11222;Conclusion — Les CM : boucs émissaires d'un système monétaire en crise ?
;;;;;GRAPHE_SANS_SECTION_KEY;3ce505bcd3e74def8b78094b4cc06b6e;I.2.1b Un protocole Bitcoin qui s'adapte : des régulations transactionnelles très politiques
;;;;;GRAPHE_SANS_EQUIVALENT_MD;79a77b4aa63fd0cde00e4769b174455d;B.1.a. Notre insatisfaction vis-à-vis de la théorie monétaire dominante
;;;;;GRAPHE_SANS_EQUIVALENT_MD;1ef9935001830b38166ebb62a144f513;B.1.b. Analyser le phénomène monétaire sans l'amputer : un institutionnalisme premier
;;;;;GRAPHE_SANS_EQUIVALENT_MD;6359b66f7d234e7d159cf71f4667157d;B.2.a. Anthropologie, ethnographie et sociologie de la monnaie : l'empirie des usages
;;;;;GRAPHE_SANS_EQUIVALENT_MD;d4807871cddce677c374549b5f3dc98e;B.2.b. Au-delà des « boîtes noires » : les CM, des infrastructures « sans coutures »
;;;;;GRAPHE_SANS_EQUIVALENT_MD;985d5ee38de80ff547c153939f00c294;B.3.a. Les fonctions heuristiques et herméneutiques des « crises »
;;;;;GRAPHE_SANS_EQUIVALENT_MD;92eccc1b5de0f983abd5f49cf462752e;B.3.b. Du périmètre de nos terrains : deux crises différenciées touchant Bitcoin et Ethereum
;;;;;GRAPHE_SANS_EQUIVALENT_MD;9a51476586060f9220b1f4977a5ddbde;C.1.a. Enjeux méthodologiques
;;;;;GRAPHE_SANS_EQUIVALENT_MD;0cf63080533e87d5bc747f09d72505a0;C.1.b. La relation enquêteur-enquêtés
;;;;;GRAPHE_SANS_EQUIVALENT_MD;533f166041015681506e5003366ba9d5;C.2.a. La face « en ligne » des CM : de la recherche documentaire à l'immersion participante
;;;;;GRAPHE_SANS_EQUIVALENT_MD;ce5164aaecea4aaec0f9d754ad8d84c4;C.2.b. « Creuser au fond du terrier » : les recherches documentaires
;;;;;GRAPHE_SANS_EQUIVALENT_MD;63b87660eedea4c59423d7f2537e5d78;C.2.c. S'approcher des acteurs non humains : des immersions participantes fructueuses
;;;;;GRAPHE_SANS_EQUIVALENT_MD;f99a9cb9e9ca7b29a73efdcae8212a77;C.2.d. L'envers « hors ligne » : observations et entretiens
;;;;;GRAPHE_SANS_EQUIVALENT_MD;ee02c5c55eac9cd1fe26d13e8427cc50;C.2.e. Observations participantes hors ligne
;;;;;GRAPHE_SANS_EQUIVALENT_MD;c55b4bb54aa5817904f907248c78ce8a;C.2.f. Entretiens
