section_key;policy;top12_size;survivors_vs_legacy;new_entrants;measured_candidates;pinned;aggregated_from
II.4;direct-count;12;3;9;20;0;0
II.4;hybrid-cautious;12;4;8;20;0;0
II.4;legacy;12;12;0;20;0;0
II.4;verified-first;12;10;2;20;0;0
III.1;diagnostic-only;12;12;0;52;2;2
III.1;direct-count;12;8;4;52;2;2
III.1;hybrid-cautious;12;7;5;52;2;2
III.1;legacy;12;12;0;52;2;2
III.1;verified-first;12;10;2;52;2;2
III.1.1;diagnostic-only;12;12;0;23;0;0
III.1.1;direct-count;12;3;9;23;0;0
III.1.1;hybrid-cautious;12;3;9;23;0;0
III.1.1;legacy;12;12;0;23;0;0
III.1.1;verified-first;12;5;7;23;0;0
III.1.2;diagnostic-only;12;12;0;20;0;0
III.1.2;direct-count;12;2;10;20;0;0
III.1.2;hybrid-cautious;12;2;10;20;0;0
III.1.2;legacy;12;12;0;20;0;0
III.1.2;verified-first;12;3;9;20;0;0
III.2;diagnostic-only;12;12;0;67;0;3
III.2;direct-count;12;7;5;67;0;3
III.2;hybrid-cautious;12;9;3;67;0;3
III.2;legacy;12;12;0;67;0;3
III.2;verified-first;12;11;1;67;0;3
III.2.1;diagnostic-only;12;12;0;26;0;0
III.2.1;direct-count;12;6;6;26;0;0
III.2.1;hybrid-cautious;12;7;5;26;0;0
III.2.1;legacy;12;12;0;26;0;0
III.2.1;verified-first;12;10;2;26;0;0
III.2.2;diagnostic-only;12;12;0;8;0;0
III.2.2;direct-count;12;11;1;8;0;0
III.2.2;hybrid-cautious;12;11;1;8;0;0
III.2.2;legacy;12;12;0;8;0;0
III.2.2;verified-first;12;12;0;8;0;0
III.2.3;diagnostic-only;12;12;0;35;0;0
III.2.3;direct-count;12;4;8;35;0;0
III.2.3;hybrid-cautious;12;4;8;35;0;0
III.2.3;legacy;12;12;0;35;0;0
III.2.3;verified-first;12;5;7;35;0;0
III.3;diagnostic-only;12;12;0;109;4;4
III.3;direct-count;12;8;4;109;4;4
III.3;hybrid-cautious;12;9;3;109;4;4
