source;date_iso;intitule;couleur_rgba;couleur_hex;couleur_nom;domaine_8;provenance_correspondance
Chrono_Bitcoin_institutionnalisation_V2;2015-05-21;Bitcoin entre dans les dictionnaires Petit Robert et Larousse;255,150,180,247;#96b4f7;bleu fonce;iv;calibre : 3/4 sur le catalogue
Chrono_Altcoin_institutionnalisation_V0;2015-06-01;"Bourse d'échange sans conservation, ""Shapeshift"" par E. Voorhees";255,188,241,158;#bcf19e;vert;i;calibre : 7/8 sur le catalogue
Chrono_Bitcoin_institutionnalisation_V2;2015-06-01;"Première bourse d'échange sans conservation, ""Shapeshift"" par E. Voorhees";255,188,241,158;#bcf19e;vert;i;calibre : 7/8 sur le catalogue
Chrono_Altcoin_institutionnalisation_V0;2015-06-08;"Première sidechain Bitcoin, , ""Sidechain Elements"", par Blockstream";255,247,179,179;#f7b3b3;rouge;vi;calibre : 2/2 sur le catalogue
Chrono_Altcoin_institutionnalisation_V0;2015-07-15;"Modification en sens inverse de la taille du champ Op_Return de 40 à 80 Bytes (""Op-Code War"")";255,247,179,179;#f7b3b3;rouge;vi;calibre : 2/2 sur le catalogue
Chrono_Altcoin_institutionnalisation_V0;2015-07-30;Lancement d'Ethereum;255,188,241,158;#bcf19e;vert;i;calibre : 7/8 sur le catalogue
Chrono_Bitcoin_institutionnalisation_V2;2015-09-16;"Lancement de l'ASIC ""Antminer S5+"" (~7,7 TH/s), par Bitmain";255,248,252,146;#f8fc92;jaune;ii;contenu : minage GPU, Slush, FPGA, ASIC
Chrono_Altcoin_institutionnalisation_V0;2015-09-17;[USA] La CFTC déclare assimilée Bitcoin à une marchandise dont elle assure la régulation;255,157,239,250;#9deffa;bleu clair;v;contenu : BCE, Senat, Tracfin, CFTC
Chrono_Altcoin_institutionnalisation_V0;2015-11-20;Coinbase lance aux USA sa carte de paiement;255,188,241,158;#bcf19e;vert;i;calibre : 7/8 sur le catalogue
Chrono_Altcoin_institutionnalisation_V0;2016-01-01;La bourse d'échange CoinBase atteint 5 Millions d'utilisateurs;255,237,166,247;#eda6f7;violet;viii;contenu : levees de fonds, vols, faucet
Chrono_Altcoin_institutionnalisation_V0;2016-01-14;"Publication du WP du protocole de couche 2 (L2), Bitcoin Lightning Network""";255,150,180,247;#96b4f7;bleu fonce;iv;calibre : 3/4 sur le catalogue
Chrono_Bitcoin_institutionnalisation_V2;2016-04-04;"Lancement d'OpenBaazar, ""Ebay distribué"" usant du BTC";255,188,241,158;#bcf19e;vert;i;calibre : 7/8 sur le catalogue
Chrono_Bitcoin_institutionnalisation_V2;2016-04-19;"Lancement de la bourse d'échange P2P en BTC ""Bisq""";255,188,241,158;#bcf19e;vert;i;calibre : 7/8 sur le catalogue
Chrono_Altcoin_institutionnalisation_V0;2016-04-25;La bourse d'échange Bitstamp obtient l'agrément d’établissement de paiement (Luxembourg).;255,157,239,250;#9deffa;bleu clair;v;contenu : BCE, Senat, Tracfin, CFTC
Chrono_Bitcoin_institutionnalisation_V2;2016-07-02;"Lancement de l'ASIC ""Antminer S9"" (~14 TH/s), par Bitmain";255,248,252,146;#f8fc92;jaune;ii;contenu : minage GPU, Slush, FPGA, ASIC
