statut;score_nom;raison;motifs;canonique;canonique_id;date_can;doublon;doublon_id;date_dup
REJET_AUTO;0.6;dates contradictoires (2013 / 2014);"meme type ; dates contradictoires (2013 / 2014)";InfrastructureEvent — CoinGecko : plateforme données cryptomarché;08a230a6d478497b8a2d0b155bc89db1;2014;InfrastructureEvent — CoinMarketCap : plateforme données cryptomarché (2013);de8f9cb71cfd4d75bd5129622d3eace7;2013
REJET_AUTO;0.6;dates contradictoires (2014-05-13 / 2016-10-06);"meme type ; dates contradictoires (2014-05-13 / 2016-10-06)";InfrastructureEvent — BitGo lève 12 millions $ (portefeuille multi-sig, 2014);fcddab6ea50c4380a94c2d5dc8b00480;2014-05-13;InfrastructureEvent — BitGo lève 49 millions $ (octobre 2016);75ca941e17f4489fa47ced4aeafdd2f8;2016-10-06
REJET_AUTO;0.6;dates contradictoires (2014-12-01 / 2016-06-12);"meme type ; dates contradictoires (2014-12-01 / 2016-06-12)";InfrastructureEvent — ASIC Antminer S5 (1 TH/s) par Bitmain (2014);d02f0c0a011a4ca09cf826f684f10222;2014-12-01;InfrastructureEvent — ASIC Antminer S9 (14 TH/s) par Bitmain (2016);07715d5ff1d647e88fa6a2f94be1a102;2016-06-12
REJET_AUTO;0.5;CVE differents (CVE-2018-20587 / CVE-2018-20586);"meme type ; dates identiques ; CVE differents (CVE-2018-20587 / CVE-2018-20586)";CVE-2018-20586 (Tromperie, injection journal);19907a993e6c4b2392f503ec1863df9e;2018;CVE-2018-20587 (Vol, Luke Dashjr);c6389ffe8f7a48668883b4845808c388;2018
REJET_AUTO;0.5;dates contradictoires (2010-07 / 2011-01);"meme type ; dates contradictoires (2010-07 / 2011-01)";GPU mining emergence;5dfe15f31a89483aae5b75e1e60fc5ef;2010-07;Mining pools emergence;7f80094676fd44a785c6483dbee4f8c5;2011-01
REJET_AUTO;0.5;dates contradictoires (2010-04-01 / 2011);"meme type ; dates contradictoires (2010-04-01 / 2011)";InfrastructureEvent — Premier minage GPU;ef24c1fb7a7040b49a2c1e0194355cf1;2010-04-01;InfrastructureEvent — Premier minage FPGA (2011);f28b9ec90edb4d7782ce4827a9cf9834;2011
REJET_AUTO;0.5;dates contradictoires (2011-04 / 2009-12-22);"meme type ; dates contradictoires (2011-04 / 2009-12-22)";InfrastructureEvent — Article Forbes sur Bitcoin (Greenberg, avril 2011);21e8e322b58f421aa3540bdeef5fde64;2011-04;InfrastructureEvent — Article PCWorld sur Bitcoin (décembre 2009);3a7d7850c35842dc9127080eb7d30db3;2009-12-22
REJET_AUTO;0.43;types differents;types differents;Fermeture Silk Road par le FBI (octobre 2013);272f2d17b89d4912aca1c4f7b77b7332;2013;InfrastructureEvent — Arrestation Ross Ulbricht / fermeture Silk Road (octobre 2013);1a666b0913364cc39236ea82f4d73ef5;2013-10
REJET_AUTO;0.4;CVE differents (CVE-2018-17144 / CVE-2018-20587);"meme type ; precisions emboitees ; CVE differents (CVE-2018-17144 / CVE-2018-20587)";Bitcoin CVE 2018-17144;db9a125c4c7a4d03bd19d3dc8c474a9e;2018-09-01;CVE-2018-20587 (Vol, Luke Dashjr);c6389ffe8f7a48668883b4845808c388;2018
REJET_AUTO;0.4;CVE differents (CVE-2018-17144 / CVE-2018-20586);"meme type ; precisions emboitees ; CVE differents (CVE-2018-17144 / CVE-2018-20586)";Bitcoin CVE 2018-17144;db9a125c4c7a4d03bd19d3dc8c474a9e;2018-09-01;CVE-2018-20586 (Tromperie, injection journal);19907a993e6c4b2392f503ec1863df9e;2018
